seed,step,firm_id,price,wage,capital,employees,max_employees,quality,marketing,profit,revenue,costs,inventory,production,sales,bankrupt
381637,1,0,43.22148931236814,49.672572868417994,67994.03933323613,14,14,0.2653374995163692,0.6286467758462798,6676.0918353919305,7256.417329740348,580.3254943484174,0.0,167.88910898690094,167.8891089869009,False
381637,1,1,30.332534882251533,29.137526273923793,87981.51463794876,14,14,0.43177322032581256,0.5503144930634464,4425.212126171152,5028.33613844849,603.1240122773378,0.0,165.7736868338926,165.7736868338926,False
381637,1,2,39.78388322493126,29.27651837488721,102929.92738660303,19,19,0.49772412333966387,0.4357609849461762,8205.105574849826,8968.146538557534,763.0409637077091,0.0,225.42159818470137,225.42159818470134,False
381637,1,3,41.21926606398164,19.098610565917436,78793.20500958999,15,15,0.2521159115000547,0.6213661299417771,6695.669529221557,7294.206425207956,598.5368959863994,0.0,176.96109420982157,176.96109420982157,False
381637,1,4,73.5912013237389,45.606854442657664,62752.45645226134,9,9,0.24667008034267535,0.5949972772095715,7490.596815081923,7932.777027962956,442.1802128810333,0.0,107.79518319133645,107.79518319133645,False
381637,1,5,80.40016612382192,40.600805921224264,66810.40445658522,17,17,0.3327579455248383,0.43703310559773645,15640.254920945554,16313.582797305708,673.3278763601536,0.0,202.90483942759064,202.90483942759076,False
381637,1,6,82.13627136369863,19.579185590953088,104676.54725361148,13,13,0.3717695371798477,0.4966870989459131,12050.678004062545,12614.947625692337,564.2696216297909,0.0,153.58558912217316,153.5855891221732,False
381637,1,7,59.315000000583346,35.86124317153318,80156.02399304879,19,19,0.43596974453024284,0.34010204930240345,12661.740093358512,13412.572440330508,750.8323469719963,0.0,226.12446160665263,226.1244616066526,False
381637,1,8,36.71830685841318,14.847729509703896,60163.595733350936,12,12,0.45859976329238467,0.6511851083128669,4640.671687994522,5188.055693153587,547.3840051590646,0.0,141.29343472069328,141.29343472069328,False
381637,1,9,35.629792119591755,42.28752577869104,82671.73155414803,15,15,0.5239556668780716,0.6713700284421561,5739.0033196317945,6391.786958118102,652.7836384863078,0.0,179.39444992168364,179.39444992168364,False
